"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30"
"31342","ENSG00000258818",0,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"31343","ENSG00000169413",528,639,942,210,913,180,162,0,329,1159,177,492,0,0,0,210,7,873,435,2486,0,1797,833,507,657,268,417,448,407,624
"31344","ENSG00000165799",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"31345","ENSG00000173431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"31346","ENSG00000188655",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31347","ENSG00000171865",384,327,135,44,163,84,24,99,125,244,227,185,2,3,15,5,0,243,304,176,0,110,245,143,138,223,280,188,76,370
"31348","ENSG00000265790",19,8,1,0,0,0,0,2,2,6,4,1,0,0,0,0,0,4,1,3,0,0,4,5,4,11,6,5,1,10
"31349","ENSG00000231458",4,8,21,0,0,5,3,0,2,2,12,1,0,2,0,0,0,16,2,4,0,0,3,5,4,8,7,1,0,12
"31350","ENSG00000104889",131,168,168,240,118,178,77,3,119,427,213,176,1,12,11,115,0,637,195,182,50,181,186,109,120,145,175,143,125,534
"31351","ENSG00000136104",618,659,338,361,233,96,92,10,275,687,351,181,65,0,15,25,0,590,606,715,0,304,599,433,963,261,323,321,130,373
"31353","ENSG00000172922",842,738,494,297,409,829,94,14,498,545,688,1281,15,1,51,173,62,1674,774,1087,277,1115,923,437,547,681,984,778,465,911
"31355","ENSG00000219200",424,669,406,625,444,137,156,19,680,577,357,950,35,89,215,304,0,672,448,627,0,164,695,966,506,1080,1141,793,840,692
